Vendor,Model,Year,Version,Front Size Designation,Front Load Speed Index,Rear Size Designation,Rear Load Speed Index
VOLKSWAGEN,Golf V GTi,2003 - 2008,2.0 TFSI 200,225/45 R 17,091W,225/45 R 17,091W
MINI,Mini John Cooper Works Cabrio,2016 - ,2.0 T 231,205/40 R 18,086W,205/40 R 18,086W
MINI,Mini John Cooper Works Cabrio,2016 - ,2.0 T 231,185/50 R 17,086H,185/50 R 17,086H
MINI,Mini John Cooper Works Cabrio,2016 - ,2.0 T 231,205/45 R 17,088Y,205/45 R 17,088Y
MAYBACH,Maybach 57,2005 - 2013,5.5 V12 550,275/50 R 19,112W,275/50 R 19,112W
BMW,serie 3 Cabrio,2000 - 2006,330ci (3.0 L 231),225/40 R 18,088Y,255/35 R 18,090Y
BMW,serie 3 Cabrio,2000 - 2006,330ci (3.0 L 231),205/50 R 17,093V,205/50 R 17,093V
BMW,serie 3 Cabrio,2000 - 2006,330ci (3.0 L 231),205/50 R 17,093W,205/50 R 17,093W
BMW,serie 3 Cabrio,2000 - 2006,330ci (3.0 L 231),225/45 R 17,091W,225/45 R 17,091W
BMW,serie 3 Cabrio,2000 - 2006,330ci (3.0 L 231),225/45 R 17,091Y,245/40 R 17,091Y
FORD,Puma,1997 - 2002,1.7 16V 125,215/40 R 17,083Y,215/40 R 17,083Y
FORD,Puma,1997 - 2002,1.7 16V 125,165/65 R 14,079T,165/65 R 14,079T
FORD,Puma,1997 - 2002,1.7 16V 125,195/50 R 15,082V,195/50 R 15,082V
MINI,Mini John Cooper Works Cabrio,2016 - ,2.0 L 211,185/50 R 17,086H,185/50 R 17,086H
MINI,Mini John Cooper Works Cabrio,2016 - ,2.0 L 211,205/45 R 17,088W,205/45 R 17,088W
MINI,Mini John Cooper Works Cabrio,2016 - ,2.0 L 211,175/60 R 16,086H,175/60 R 16,086H
MINI,Mini John Cooper Works Cabrio,2016 - ,2.0 L 211,205/40 R 18,086W,205/40 R 18,086W
MINI,Mini John Cooper Works Cabrio,2016 - ,2.0 L 211,195/55 R 16,087W,195/55 R 16,087W
MERCEDES,E 420,1995 - 2002,4.2 V8 279,235/40 R 18,000ZR,235/40 R 18,000ZR
MERCEDES,E 420,1995 - 2002,4.2 V8 279,215/55 R 16,093W,215/55 R 16,093W
BMW,serie 3 Cabrio,2000 - 2006,325ci (2.5 L 192),205/55 R 16,091V,205/55 R 16,091V
BMW,serie 3 Cabrio,2000 - 2006,325ci (2.5 L 192),225/40 R 18,088Y,255/35 R 18,090Y
BMW,serie 3 Cabrio,2000 - 2006,325ci (2.5 L 192),205/50 R 17,093W,205/50 R 17,093W
BMW,serie 3 Cabrio,2000 - 2006,325ci (2.5 L 192),205/55 R 16,091H,205/55 R 16,091H
BMW,serie 3 Cabrio,2000 - 2006,325ci (2.5 L 192),225/50 R 16,092W,225/50 R 16,092W
BMW,serie 3 Cabrio,2000 - 2006,325ci (2.5 L 192),225/45 R 17,091W,225/45 R 17,091W
BMW,serie 3 Cabrio,2000 - 2006,325ci (2.5 L 192),225/45 R 17,091Y,245/40 R 17,091Y
VOLKSWAGEN,Polo Fun,2003 - 2005,1.2 L 55,195/55 R 15,085H,195/55 R 15,085H
VOLKSWAGEN,Polo Fun,2003 - 2005,1.2 L 55,205/45 R 16,083V,205/45 R 16,083V
VOLKSWAGEN,Polo Fun,2003 - 2005,1.2 L 55,165/70 R 14,081T,165/70 R 14,081T
VOLKSWAGEN,Polo Fun,2003 - 2005,1.2 L 55,185/60 R 14,082T,185/60 R 14,082T
VOLKSWAGEN,Polo Fun,2003 - 2005,1.2 L 55,155/80 R 13,079T,155/80 R 13,079T
BMW,serie 3 Cabrio,2000 - 2006,318ci (2.0 L 143),225/45 R 17,091Y,245/40 R 17,091Y
BMW,serie 3 Cabrio,2000 - 2006,318ci (2.0 L 143),225/40 R 18,088Y,255/35 R 18,090Y
BMW,serie 3 Cabrio,2000 - 2006,318ci (2.0 L 143),225/50 R 16,092W,225/50 R 16,092W
BMW,serie 3 Cabrio,2000 - 2006,318ci (2.0 L 143),205/55 R 16,091V,205/55 R 16,091V
BMW,serie 3 Cabrio,2000 - 2006,318ci (2.0 L 143),205/50 R 17,093W,205/50 R 17,093W
BMW,serie 3 Cabrio,2000 - 2006,318ci (2.0 L 143),225/45 R 17,091W,225/45 R 17,091W
VOLKSWAGEN,Polo Fun,2003 - 2005,1.4 TDI 75,195/55 R 15,085H,195/55 R 15,085H
VOLKSWAGEN,Polo Fun,2003 - 2005,1.4 TDI 75,205/45 R 16,083V,205/45 R 16,083V
VOLKSWAGEN,Polo Fun,2003 - 2005,1.4 TDI 75,165/70 R 14,081T,165/70 R 14,081T
VOLKSWAGEN,Polo Fun,2003 - 2005,1.4 TDI 75,185/55 R 15,082T,185/55 R 15,082T
VOLKSWAGEN,Polo Fun,2003 - 2005,1.4 TDI 75,185/60 R 14,082T,185/60 R 14,082T
OPEL,Vectra C SW,2003 - 2009,2.2 16V 155,215/55 R 16,093V,215/55 R 16,093V
OPEL,Vectra C SW,2003 - 2009,2.2 16V 155,215/50 R 17,091W,215/50 R 17,091W
OPEL,Vectra C SW,2003 - 2009,2.2 16V 155,225/45 R 17,091W,225/45 R 17,091W
OPEL,Vectra C SW,2003 - 2009,2.2 16V 155,235/35 R 19,091Y,235/35 R 19,091Y
OPEL,Vectra C SW,2003 - 2009,2.2 16V 155,225/45 R 18,091W,225/45 R 18,091W
MAYBACH,Maybach 57,2005 - 2013,6.0 V12 612,275/45 R 20,110Y,275/45 R 20,110Y
MAYBACH,Maybach 57,2005 - 2013,6.0 V12 612,275/50 R 19,112H,275/50 R 19,112H
MINI,Cooper S Countryman AWD,2010 - 2017,1.6 L 190,195/60 R 16,089H,195/60 R 16,089H
MINI,Cooper S Countryman AWD,2010 - 2017,1.6 L 190,225/40 R 19,089V,225/40 R 19,089V
MINI,Cooper S Countryman AWD,2010 - 2017,1.6 L 190,225/45 R 18,091V,225/45 R 18,091V
MINI,Cooper S Countryman AWD,2010 - 2017,1.6 L 190,205/55 R 17,091V,205/55 R 17,091V
MINI,Cooper S Countryman AWD,2010 - 2017,1.6 L 190,205/55 R 17,091H,205/55 R 17,091H
BMW,serie 3 Cabrio,2000 - 2006,330cd (3.0 D 204),225/40 R 18,088Y,255/35 R 18,090Y
BMW,serie 3 Cabrio,2000 - 2006,330cd (3.0 D 204),225/45 R 17,091W,225/45 R 17,091W
BMW,serie 3 Cabrio,2000 - 2006,330cd (3.0 D 204),225/45 R 17,091Y,245/40 R 17,091Y
BMW,serie 3 Cabrio,2000 - 2006,330cd (3.0 D 204),205/50 R 17,093W,205/50 R 17,093W
ALFA ROMEO,145,1994 - 2001,1.9 TD 90,195/50 R 15,082V,195/50 R 15,082V
ALFA ROMEO,145,1994 - 2001,1.9 TD 90,185/60 R 14,082H,185/60 R 14,082H
ALFA ROMEO,145,1994 - 2001,1.9 TD 90,175/65 R 14,082T,175/65 R 14,082T
VOLKSWAGEN,Polo Fun,2003 - 2005,1.2 L 64,205/45 R 16,083V,205/45 R 16,083V
VOLKSWAGEN,Polo Fun,2003 - 2005,1.2 L 64,195/55 R 15,085H,195/55 R 15,085H
VOLKSWAGEN,Polo Fun,2003 - 2005,1.2 L 64,165/70 R 14,081T,165/70 R 14,081T
VOLKSWAGEN,Polo Fun,2003 - 2005,1.2 L 64,185/60 R 14,082T,185/60 R 14,082T
FORD,Puma,1997 - 2002,1.4 16V 90,165/65 R 14,079T,165/65 R 14,079T
FORD,Puma,1997 - 2002,1.4 16V 90,195/50 R 15,082V,195/50 R 15,082V
FIAT,Punto,1999 - 2009,1.9 D 60,185/55 R 15,081V,185/55 R 15,081V
FIAT,Punto,1999 - 2009,1.9 D 60,185/60 R 14,082H,185/60 R 14,082H
FIAT,Punto,1999 - 2009,1.9 D 60,165/70 R 14,081T,165/70 R 14,081T
ALFA ROMEO,145,1994 - 2001,1.4 L 103,185/60 R 14,082H,185/60 R 14,082H
ALFA ROMEO,145,1994 - 2001,1.4 L 103,195/50 R 15,082V,195/50 R 15,082V
VOLKSWAGEN,Polo Fun,2003 - 2005,1.6 FSI 86,205/45 R 16,083V,205/45 R 16,083V
VOLKSWAGEN,Polo Fun,2003 - 2005,1.6 FSI 86,195/55 R 15,085H,195/55 R 15,085H
VOLKSWAGEN,Polo Fun,2003 - 2005,1.6 FSI 86,165/70 R 14,081T,165/70 R 14,081T
VOLKSWAGEN,Polo Fun,2003 - 2005,1.6 FSI 86,185/60 R 14,082T,185/60 R 14,082T
BMW,serie 3 Cabrio,2000 - 2006,320ci (2.2 L 170),205/50 R 17,093W,205/50 R 17,093W
BMW,serie 3 Cabrio,2000 - 2006,320ci (2.2 L 170),225/50 R 16,092W,225/50 R 16,092W
BMW,serie 3 Cabrio,2000 - 2006,320ci (2.2 L 170),225/45 R 17,091Y,245/40 R 17,091Y
BMW,serie 3 Cabrio,2000 - 2006,320ci (2.2 L 170),225/45 R 17,091W,225/45 R 17,091W
BMW,serie 3 Cabrio,2000 - 2006,320ci (2.2 L 170),225/40 R 18,088Y,255/35 R 18,090Y
BMW,serie 3 Cabrio,2000 - 2006,320ci (2.2 L 170),205/55 R 16,091V,205/55 R 16,091V
FORD,Puma,1997 - 2002,1.6 16V 103,165/65 R 14,079T,165/65 R 14,079T
FORD,Puma,1997 - 2002,1.6 16V 103,195/50 R 15,082V,195/50 R 15,082V
FIAT,Punto,1999 - 2009,1.8 L 130,185/55 R 15,082V,185/55 R 15,082V
FIAT,Punto,1999 - 2009,1.8 L 130,195/45 R 15,078V,195/45 R 15,078V
ALFA ROMEO,145,1994 - 2001,1.8 L 144,195/55 R 15,084V,195/55 R 15,084V
VOLKSWAGEN,Polo Fun,2003 - 2005,1.9 TDI 100,185/55 R 15,082T,185/55 R 15,082T
VOLKSWAGEN,Polo Fun,2003 - 2005,1.9 TDI 100,195/55 R 15,085H,195/55 R 15,085H
VOLKSWAGEN,Polo Fun,2003 - 2005,1.9 TDI 100,205/45 R 16,083V,205/45 R 16,083V
VOLKSWAGEN,Polo Fun,2003 - 2005,1.9 TDI 100,185/60 R 14,082H,185/60 R 14,082H
FIAT,Punto,1999 - 2009,1.9 JTD 80,185/60 R 14,082H,185/60 R 14,082H
FIAT,Punto,1999 - 2009,1.9 JTD 80,185/55 R 15,081V,185/55 R 15,081V
BMW,serie 3 Cabrio,2000 - 2006,320cd (2.0 D 150),225/40 R 18,088Y,255/35 R 18,090Y
BMW,serie 3 Cabrio,2000 - 2006,320cd (2.0 D 150),225/45 R 17,091Y,245/40 R 17,091Y
BMW,serie 3 Cabrio,2000 - 2006,320cd (2.0 D 150),205/55 R 16,091V,205/55 R 16,091V
BMW,serie 3 Cabrio,2000 - 2006,320cd (2.0 D 150),225/50 R 16,092W,225/50 R 16,092W
BMW,serie 3 Cabrio,2000 - 2006,320cd (2.0 D 150),225/45 R 17,091W,225/45 R 17,091W
BMW,serie 3 Cabrio,2000 - 2006,320cd (2.0 D 150),205/50 R 17,093W,205/50 R 17,093W
ALFA ROMEO,145,1994 - 2001,1.8 L 140,195/55 R 15,084V,195/55 R 15,084V
MAYBACH,Maybach 57,2005 - 2013,6.0 V12 630,275/50 R 19,112H,275/50 R 19,112H
MAYBACH,Maybach 57,2005 - 2013,6.0 V12 630,275/45 R 20,110Y,275/45 R 20,110Y
FIAT,Punto,1999 - 2009,1.2 16V 80,185/60 R 14,082H,185/60 R 14,082H
FIAT,Punto,1999 - 2009,1.2 16V 80,185/55 R 15,081V,185/55 R 15,081V
FIAT,Punto,1999 - 2009,1.2 16V 80,165/70 R 14,081T,165/70 R 14,081T
FIAT,Punto,1999 - 2009,1.2 16V 80,195/45 R 15,078V,195/45 R 15,078V
FIAT,Punto,1999 - 2009,1.2 16V 80,165/65 R 14,079T,165/65 R 14,079T
MINI,Cooper S Countryman AWD,2010 - 2017,1.6 L 184,195/60 R 16,089H,195/60 R 16,089H
MINI,Cooper S Countryman AWD,2010 - 2017,1.6 L 184,205/55 R 17,091V,205/55 R 17,091V
MINI,Cooper S Countryman AWD,2010 - 2017,1.6 L 184,225/45 R 18,091V,225/45 R 18,091V
MINI,Cooper S Countryman AWD,2010 - 2017,1.6 L 184,205/55 R 17,091H,205/55 R 17,091H
MINI,Cooper S Countryman AWD,2010 - 2017,1.6 L 184,225/40 R 19,089V,225/40 R 19,089V
OPEL,Campo,1992 - 2002,2.5 TD 76,205/80 R 16,104Q,205/80 R 16,104Q
BMW,serie 7 ActiveHybrid 7 L,2010 - 2015,3.0 Hybrid 354,245/40 R 20,099Y,275/35 R 20,102Y
BMW,serie 7 ActiveHybrid 7 L,2010 - 2015,3.0 Hybrid 354,245/45 R 19,102V,245/45 R 19,102V
BMW,serie 7 ActiveHybrid 7 L,2010 - 2015,3.0 Hybrid 354,245/45 R 19,098Y,275/40 R 19,101Y
BMW,serie 7 ActiveHybrid 7 L,2010 - 2015,3.0 Hybrid 354,245/35 R 21,096Y,275/30 R 21,098Y
BMW,serie 7 ActiveHybrid 7 L,2010 - 2015,3.0 Hybrid 354,245/50 R 18,100Y,245/50 R 18,100Y
MERCEDES,S 320,1998 - 2005,3.2 V6 225,225/60 R 16,098V,225/60 R 16,098V
MERCEDES,S 320,1998 - 2005,3.2 V6 225,225/55 R 17,097W,225/55 R 17,097W
MERCEDES,S 320,1998 - 2005,3.2 V6 225,245/45 R 18,096Y,245/45 R 18,096Y
MERCEDES,S 320,1998 - 2005,3.2 V6 225,245/45 R 18,096Y,275/40 R 18,099Y
OPEL,Campo,1992 - 2002,2.5 TD 101,205/80 R 16,104Q,205/80 R 16,104Q
MAYBACH,Maybach Landaulet,2008 - 2013,6.0 V12 612,275/50 R 19,112W,275/50 R 19,112W
MAYBACH,Maybach Landaulet,2008 - 2013,6.0 V12 612,275/45 R 20,110Y,275/45 R 20,110Y
HYUNDAI,i40,2011 - ,1.7 CRDi 115,205/60 R 16,092V,205/60 R 16,092V
HYUNDAI,i40,2011 - ,1.7 CRDi 115,225/45 R 18,095V,225/45 R 18,095V
HYUNDAI,i40,2011 - ,1.7 CRDi 115,215/50 R 17,095V,215/50 R 17,095V
OPEL,Campo,1992 - 2002,3.1 TD 109,205/80 R 16,104Q,205/80 R 16,104Q
FORD,Fusion,2002 - 2013,1.6 L 100,195/60 R 15,088H,195/60 R 15,088H
FORD,Fusion,2002 - 2013,1.6 L 100,185/60 R 14,082T,185/60 R 14,082T
FORD,Fusion,2002 - 2013,1.6 L 100,195/55 R 16,088H,195/55 R 16,088H
HYUNDAI,i40,2011 - ,2.0 MPi 150,215/50 R 17,095V,215/50 R 17,095V
HYUNDAI,i40,2011 - ,2.0 MPi 150,205/60 R 16,092V,205/60 R 16,092V
HYUNDAI,i40,2011 - ,2.0 MPi 150,225/45 R 18,095V,225/45 R 18,095V
HYUNDAI,i40,2011 - ,2.0 GDI 179,225/45 R 18,095V,225/45 R 18,095V
BMW,M8 Cabrio,2018 - ,4.4 L 600,275/35 R 20,102ZR(Y),285/35 R 20,104ZR(Y)
BMW,M8 Cabrio,2018 - ,4.4 L 600,245/35 R 20,095Y,275/30 R 20,097Y
BMW,M8 Cabrio,2018 - ,4.4 L 600,245/40 R 19,098H,275/35 R 19,100V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TDI 190,215/65 R 17,099V,215/65 R 17,099V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TDI 190,235/55 R 18,100V,235/55 R 18,100V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TDI 190,235/50 R 19,099V,235/50 R 19,099V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TDI 190,235/45 R 20,100V,235/45 R 20,100V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TDI 190,255/40 R 20,101V,255/40 R 20,101V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TDI 190,255/45 R 19,100V,255/45 R 19,100V
ALFA ROMEO,Giulietta,2010 - 2020,1.4 T 105,195/55 R 16,091V,195/55 R 16,091V
ALFA ROMEO,Giulietta,2010 - 2020,1.4 T 105,205/55 R 16,091V,205/55 R 16,091V
ALFA ROMEO,Giulietta,2010 - 2020,1.4 T 105,225/40 R 18,092W,225/40 R 18,092W
ALFA ROMEO,Giulietta,2010 - 2020,1.4 T 105,225/45 R 17,091W,225/45 R 17,091W
HYUNDAI,i40,2011 - ,1.6 GDI 135,225/45 R 18,095V,225/45 R 18,095V
HYUNDAI,i40,2011 - ,1.6 GDI 135,215/50 R 17,095V,215/50 R 17,095V
HYUNDAI,i40,2011 - ,1.6 GDI 135,205/60 R 16,092V,205/60 R 16,092V
ALFA ROMEO,Giulietta,2010 - 2020,2.0 JTDM 175,225/45 R 17,091W,225/45 R 17,091W
ALFA ROMEO,Giulietta,2010 - 2020,2.0 JTDM 175,205/55 R 16,091V,205/55 R 16,091V
ALFA ROMEO,Giulietta,2010 - 2020,2.0 JTDM 175,225/40 R 18,092W,225/40 R 18,092W
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TSI 190,215/65 R 17,099V,215/65 R 17,099V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TSI 190,255/40 R 20,101V,255/40 R 20,101V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TSI 190,255/45 R 19,100V,255/45 R 19,100V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TSI 190,235/45 R 20,100V,235/45 R 20,100V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TSI 190,235/50 R 19,099V,235/50 R 19,099V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TSI 190,215/65 R 17,099H,215/65 R 17,099H
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TSI 190,235/55 R 18,100V,235/55 R 18,100V
OPEL,Campo,1992 - 2002,2.3 L 96,205/80 R 16,104Q,205/80 R 16,104Q
HYUNDAI,i40,2011 - ,2.0 GDI 178,215/50 R 17,095V,215/50 R 17,095V
HYUNDAI,i40,2011 - ,2.0 GDI 178,205/60 R 16,092V,205/60 R 16,092V
ALFA ROMEO,Giulietta,2010 - 2020,1.4 T 120,205/55 R 16,091V,205/55 R 16,091V
ALFA ROMEO,Giulietta,2010 - 2020,1.4 T 120,225/40 R 18,092W,225/40 R 18,092W
ALFA ROMEO,Giulietta,2010 - 2020,1.4 T 120,225/45 R 17,091W,225/45 R 17,091W
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TSI 180,235/45 R 20,100V,235/45 R 20,100V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TSI 180,255/45 R 19,100V,255/45 R 19,100V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TSI 180,235/55 R 18,100V,235/55 R 18,100V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TSI 180,215/65 R 17,099V,215/65 R 17,099V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TSI 180,235/50 R 19,099V,235/50 R 19,099V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 TSI 180,255/40 R 20,101V,255/40 R 20,101V
HYUNDAI,i40,2011 - ,1.7 CRDI 141,225/45 R 18,095V,225/45 R 18,095V
HYUNDAI,i40,2011 - ,1.7 CRDI 141,215/50 R 17,095V,215/50 R 17,095V
HYUNDAI,i40,2011 - ,1.7 CRDI 141,205/60 R 16,092V,205/60 R 16,092V
BMW,Serie 4 Gran Coupé,2021 - ,420i (2.0 L 184),245/45 R 18,100H,245/45 R 18,100H
BMW,Serie 4 Gran Coupé,2021 - ,420i (2.0 L 184),245/45 R 18,100Y,245/45 R 18,100Y
BMW,Serie 4 Gran Coupé,2021 - ,420i (2.0 L 184),225/55 R 17,101H,225/55 R 17,101H
BMW,Serie 4 Gran Coupé,2021 - ,420i (2.0 L 184),245/40 R 19,098V,255/40 R 19,100V
BMW,Serie 4 Gran Coupé,2021 - ,420i (2.0 L 184),245/35 R 20,095Y,255/35 R 20,097Y
BMW,Serie 4 Gran Coupé,2021 - ,420i (2.0 L 184),225/55 R 17,101Y,225/55 R 17,101Y
BMW,Serie 4 Gran Coupé,2021 - ,420i (2.0 L 184),245/40 R 19,098Y,255/40 R 19,100Y
ALFA ROMEO,Giulietta,2010 - 2020,2.0 JTDm 163,205/55 R 16,091V,205/55 R 16,091V
ALFA ROMEO,Giulietta,2010 - 2020,2.0 JTDm 163,225/40 R 18,092W,225/40 R 18,092W
ALFA ROMEO,Giulietta,2010 - 2020,2.0 JTDm 163,225/45 R 17,091W,225/45 R 17,091W
HYUNDAI,i40,2011 - ,1.7 CRDI 136,215/50 R 17,095V,215/50 R 17,095V
HYUNDAI,i40,2011 - ,1.7 CRDI 136,205/60 R 16,092V,205/60 R 16,092V
HYUNDAI,i40,2011 - ,1.7 CRDI 136,225/45 R 18,095V,225/45 R 18,095V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 BI-TDI 240,215/65 R 17,099V,215/65 R 17,099V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 BI-TDI 240,235/55 R 18,100V,235/55 R 18,100V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 BI-TDI 240,235/50 R 19,099V,235/50 R 19,099V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 BI-TDI 240,235/45 R 20,100V,235/45 R 20,100V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 BI-TDI 240,255/40 R 20,101V,255/40 R 20,101V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,2.0 BI-TDI 240,255/45 R 19,100V,255/45 R 19,100V
JAGUAR,XJL,2009 - 2019,3.0 D 300,245/40 R 20,099Y,275/35 R 20,102Y
JAGUAR,XJL,2009 - 2019,3.0 D 300,245/50 R 18,104Y,275/45 R 18,107Y
JAGUAR,XJL,2009 - 2019,3.0 D 300,245/45 R 19,102Y,275/40 R 19,105Y
BMW,Serie 4 Gran Coupé,2021 - ,420d (2.0 D 190),225/55 R 17,101Y,225/55 R 17,101Y
BMW,Serie 4 Gran Coupé,2021 - ,420d (2.0 D 190),245/40 R 19,098Y,255/40 R 19,100Y
BMW,Serie 4 Gran Coupé,2021 - ,420d (2.0 D 190),245/45 R 18,100H,245/45 R 18,100H
BMW,Serie 4 Gran Coupé,2021 - ,420d (2.0 D 190),245/35 R 20,095Y,255/35 R 20,097Y
BMW,Serie 4 Gran Coupé,2021 - ,420d (2.0 D 190),245/45 R 18,100Y,245/45 R 18,100Y
BMW,Serie 4 Gran Coupé,2021 - ,420d (2.0 D 190),245/40 R 19,098V,255/40 R 19,100V
BMW,Serie 4 Gran Coupé,2021 - ,420d (2.0 D 190),225/55 R 17,101H,225/55 R 17,101H
OPEL,Sintra,1996 - 1999,2.2 16V 140,205/65 R 15,094H,205/65 R 15,094H
OPEL,Sintra,1996 - 1999,2.2 16V 140,125/70 R 15,095M,125/70 R 15,095M
MERCEDES,S 320,1991 - 1998,3.2 24V 231,235/60 R 16,100V,235/60 R 16,100V
ALFA ROMEO,Giulietta,2010 - 2020,2.0 JTDM 150,225/40 R 18,092W,225/40 R 18,092W
ALFA ROMEO,Giulietta,2010 - 2020,2.0 JTDM 150,205/55 R 16,091V,205/55 R 16,091V
ALFA ROMEO,Giulietta,2010 - 2020,2.0 JTDM 150,225/45 R 17,091W,225/45 R 17,091W
ALFA ROMEO,Giulietta,2010 - 2020,2.0 JTDM 150,195/55 R 16,091V,195/55 R 16,091V
FIAT,Punto,1999 - 2009,1.3 JTD 70,185/55 R 15,081V,185/55 R 15,081V
FIAT,Punto,1999 - 2009,1.3 JTD 70,185/60 R 14,082H,185/60 R 14,082H
FIAT,Punto,1999 - 2009,1.3 JTD 70,165/70 R 14,081T,165/70 R 14,081T
HYUNDAI,i40,2011 - ,2.0 GDI 165,205/60 R 16,092V,205/60 R 16,092V
HYUNDAI,i40,2011 - ,2.0 GDI 165,225/45 R 18,095V,225/45 R 18,095V
HYUNDAI,i40,2011 - ,2.0 GDI 165,215/50 R 17,095V,215/50 R 17,095V
JAGUAR,XJL,2009 - 2019,3.0 V6 340,245/45 R 19,102Y,275/40 R 19,105Y
JAGUAR,XJL,2009 - 2019,3.0 V6 340,245/40 R 20,099Y,275/35 R 20,102Y
JAGUAR,XJL,2009 - 2019,3.0 V6 340,245/50 R 18,104Y,275/45 R 18,107Y
OPEL,Sintra,1996 - 1999,2.2 TD 115,205/65 R 15,094H,205/65 R 15,094H
OPEL,Sintra,1996 - 1999,2.2 TD 115,125/70 R 15,095M,125/70 R 15,095M
FIAT,Punto,1999 - 2009,1.9 JTD 85,185/60 R 14,082H,185/60 R 14,082H
FIAT,Punto,1999 - 2009,1.9 JTD 85,185/55 R 15,082V,185/55 R 15,082V
JAGUAR,XJL,2009 - 2019,5.0 V8 510,245/45 R 19,102Y,275/40 R 19,105Y
JAGUAR,XJL,2009 - 2019,5.0 V8 510,245/40 R 20,099Y,275/35 R 20,102Y
OPEL,Sintra,1996 - 1999,3.0 V6 200,125/70 R 15,095M,125/70 R 15,095M
OPEL,Sintra,1996 - 1999,3.0 V6 200,205/65 R 15,094H,205/65 R 15,094H
MERCEDES,S 320,2016 - 2020,3.0 V6 272,245/45 R 19,102V,245/45 R 19,102V
MERCEDES,S 320,2016 - 2020,3.0 V6 272,245/50 R 18,100W,245/50 R 18,100W
MERCEDES,S 320,2016 - 2020,3.0 V6 272,245/40 R 20,099Y,275/35 R 20,102Y
MERCEDES,S 320,2016 - 2020,3.0 V6 272,245/55 R 17,102W,245/55 R 17,102W
FORD,Fusion,2002 - 2013,1.4 TDCi 68,195/55 R 16,088H,195/55 R 16,088H
FORD,Fusion,2002 - 2013,1.4 TDCi 68,195/60 R 15,088T,195/60 R 15,088T
FORD,Fusion,2002 - 2013,1.4 TDCi 68,185/60 R 14,082T,185/60 R 14,082T
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,1.4 TSI 150,215/65 R 17,099V,215/65 R 17,099V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,1.4 TSI 150,235/55 R 18,100V,235/55 R 18,100V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,1.4 TSI 150,235/50 R 19,099V,235/50 R 19,099V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,1.4 TSI 150,235/45 R 20,100V,235/45 R 20,100V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,1.4 TSI 150,255/40 R 20,101V,255/40 R 20,101V
VOLKSWAGEN,Tiguan II Allspace 4motion,2016 - ,1.4 TSI 150,255/45 R 19,100V,255/45 R 19,100V
FORD,Fusion,2002 - 2013,1.4 L 80,195/60 R 15,088H,195/60 R 15,088H
FORD,Fusion,2002 - 2013,1.4 L 80,185/60 R 14,082T,185/60 R 14,082T
FORD,Fusion,2002 - 2013,1.4 L 80,195/55 R 16,088H,195/55 R 16,088H
ALFA ROMEO,Giulietta,2010 - 2020,2.0 JTDm 140,205/55 R 16,091V,205/55 R 16,091V
ALFA ROMEO,Giulietta,2010 - 2020,2.0 JTDm 140,225/40 R 18,092W,225/40 R 18,092W
ALFA ROMEO,Giulietta,2010 - 2020,2.0 JTDm 140,225/45 R 17,091W,225/45 R 17,091W
JAGUAR,XKR Cabrio,2006 - 2014,4.2 V8 416,245/40 R 19,098ZR(Y),275/35 R 19,100ZR(Y)
JAGUAR,XKR Cabrio,2006 - 2014,4.2 V8 416,255/35 R 20,097ZR(Y),285/30 R 20,099ZR(Y)
